code,description
A_ALUM,aluminium and aluminium products
A_ALUO,aluminium ores and concentrates
A_ALUW,recycling of aluminium
A_AL_INCI,incineration with energy recovery of aluminium
A_AL_LAND,landfill of aluminium
A_ASHW,recycling of ashes
A_AS_LAND,landfill of ashes
A_Agavs,agave fibres nes
A_Almod,"almonds, without shell"
A_Almol,"almonds, in shell"
A_Anisr,"anise, badian, fennel"
A_Appls,apples
A_Apris,apricots
A_Apriy,"apricots, dried"
A_Arecs,areca nuts
A_Artis,artichokes
A_Aspas,asparagus
A_Avocs,avocados
A_BA_INCI,incineration with energy recovery of batteries and accumulators waste
A_BA_INCI_no_recov,incineration without energy recovery of batteries and accumulators waste
A_BA_LAND,landfill of batteries and accumulators waste
A_BA_RECY,recycling of batteries and accumulators waste
A_BRIK,"bricks, tiles and construction products, in baked clay"
A_Bambs,bambara beans
A_Banas,bananas
A_Barly,barley
A_Bastr,jute-like fibres
A_Beann,"beans, green"
A_Beany,"beans, dry"
A_Beef_proc,beef meat processed (cuts and other)
A_Beer,beer
A_Berrs,berries nes
A_Blues,blueberries
A_Brazd,"brazil nuts, without shell"
A_Brazl,"brazil nuts, in shell"
A_Broay,"broad beans, dry"
A_Buckt,buckwheat
A_Bufmilk,buffalos - milk
A_CHEM,chemicals nec
A_CHMF,chemical and fertilizer minerals
A_CHP,heat from combined heat and power
A_CMNT,"cement, lime and plaster"
A_COAL,mining of coal and lignite; extraction of peat (10)
A_COIL,crude petroleum extraction
A_COKE,coke oven coke
A_COMP,computer and related services
A_CONS,construction work
A_CONW,recycling of construction waste
A_COPO,copper ores and concentrates
A_COPP,copper products
A_COPW,recycling of copper
A_CO_INCI,incineration with energy recovery of construction waste
A_CO_INCI_no_recov,incineration without energy recovery of construction waste
A_CO_LAND,landfill of construction waste
A_CO_OTHE,other disposal of construction waste
A_CRMC,ceramic goods
A_CU_INCI,incineration with energy recovery of copper
A_CU_LAND,landfill of copper
A_Cabbs,cabbages
A_Canad,canary seed
A_Caros,carobs
A_Carrs,carrot
A_Cashd,"cashew nuts, without shell"
A_Cashe,cashewapple
A_Cashl,"cashew nuts, in shell"
A_Cassa,cassava
A_Cassd,"cassava, dried"
A_Castd,castor beans
A_Cauli,cauliflowers and broccoli
A_Ceres,"cereals, nes"
A_Cherr,sour cherries
A_Chers,cherries
A_Chest,chestnuts
A_Chick,"chick-peas, dry"
A_Chics,chicory roots
A_Chiln,chillies and peppers (green)
A_Chily,pimento
A_Cinn,cinnamon (canella)
A_Clovs,cloves
A_Cocader,cocao derivates
A_Cocoa,cocoa beans
A_Cocod,"coconuts, desiccated"
A_Cocon,coconuts
A_Coffn,coffee green
A_Cowmilk,cow milk
A_Cowpea,"cow peas, dry"
A_Crans,cranberries
A_Cucus,cucumbers and gherkins
A_Currs,currants
A_DE_INCI,incineration with energy recovery of discarded equipment
A_DE_INCI_no_recov,incineration without energy recovery of discarded equipment
A_DE_LAND,landfill of discarded equipment
A_DE_OTHE,other disposal of discarded equipment
A_DE_RECY,recycling of discarded equipment
A_DV_INCI,incineration with energy recovery of discarded vehicles
A_DV_LAND,landfill of discarded vehicles
A_DV_RECY,recycling of discarded vehicles
A_Dates,dates
A_EBOIL,heat from electric boilers
A_EDUC,education services
A_ELMA,electrical machinery and apparatus n.e.c.
A_Eggpl,eggplants
A_FABM,"fabricated metal products, except machinery and equipment"
A_FAUX,services auxiliary to financial intermediation
A_FINS,"insurance and pension funding services, except compulsory social security services"
A_FINT,"financial intermediation services, except insurance and pension funding services"
A_FOOD_w_water,waste water treatment of food
A_FORE,"products of forestry, logging and related services"
A_FO_OTHE,other disposal of food
A_FO_RECY,composting of food waste
A_FSHP,fish products
A_FURN,furniture; other manufactured goods n.e.c.
A_F_aqua,fish from aquaculture
A_F_capture,fish from capture
A_Figsd,"figs, dried"
A_Figss,figs
A_Flaxw,flax fibre and tow
A_Fonio,fonio
A_Frozfrui,"fruit, frozen"
A_Frozvege,"vegetables, frozen"
A_GARM,wearing apparel; furs
A_GASD,distribution services of gaseous fuels through mains (excl the gas)
A_GASE,natural gas extraction
A_GLAS,glass and glass products
A_GLAS_reuse,collection of glass bottles service
A_GLAW,recycling of glass
A_GL_INCI,incineration with energy recovery of glass
A_GL_INCI_no_recov,incineration without energy recovery of glass
A_GL_LAND,landfill of glass
A_Garlc,garlic
A_Germe,germ of maize
A_Germt,germ of wheat
A_Gingr,ginger
A_Goamilk,goat milk
A_Gooss,gooseberries
A_Graid,mixed grain
A_Grapf,grapefruit and pomelo
A_Graps,grapes
A_Grou_shld,"groundnuts, without shell"
A_Groul,"groundnuts, in shell"
A_HA_INCI,incineration with energy recovery of hazardous waste
A_HA_INCI_no_recov,incineration without energy recovery of hazardous waste
A_HA_LAND,landfill of hazardous waste
A_HA_OTHE,other disposal of hazardous waste
A_HA_RECY,recycling of hazardous waste
A_HCHEM,heat by-product of chemical electricity generation
A_HEAL,health and social work services
A_HORE,hotel and restaurant services
A_HPUMP,heat from heat pumps
A_HWAT,heat (steam and hot water) from heat production
A_Haze_shld,"hazelnuts, without shell"
A_Hazel,"hazelnuts, in shell"
A_Hempd,hempseed
A_Honel,honey
A_Hops,hops
A_INCF,incineration with energy recovery of food
A_INCF_no_recov,incineration without energy recovery of food
A_INCL,incineration with energy recovery of plastic/rubber
A_INCL_no_recov,incineration without energy recovery of plastic and rubber
A_INCP,incineration with energy recovery of paper
A_INCP_no_recov,incineration without energy recovery of paper
A_INCW,incineration with energy recovery of wood
A_INCW_no_recovery,incineration without energy recovery of wood waste
A_IRON,iron ores
A_Jojod,jojoba seeds
A_Jufruveg,juice and fruit and veg prepared
A_Jute,jute
A_Kapod,"kapokseed, without shell"
A_Kapot,kapok fruit
A_Kari,karite nuts (sheanuts)
A_Kfert,K fertilizer
A_Kiwi,kiwi fruit
A_Kola,kolanuts
A_LANF,landfill of food
A_LANL,landfill of plastic and rubber
A_LANP,landfill of paper
A_LANW,landfill of wood
A_LETH,leather and leather products
A_LZTO,"lead, zinc and tin ores and concentrates"
A_LZTP,"lead, zinc and tin and products thereof"
A_LZTW,"recycling of lead, zinc and tin"
A_LZT_INCI,"incineration with energy recovery of lead, zinc and tin"
A_LZT_LAND,"landfill of lead, zinc and tin"
A_Leeks,leeks and other alliaceous vegetables
A_Lemos,lemons and limes
A_Lents,"lentils, dry"
A_Letty,lettuce and chicory
A_Linsd,linseed
A_Lupis,lupins
A_MACH,machinery and equipment n.e.c.
A_MANC,land application of manure
A_MARE,renting services of machinery and equipment without operator and of personal and household goods
A_MA_INCI,incineration with energy recovery of manure
A_MA_INCI_no_recov,incineration without energy recovery of manure
A_MA_LAND,landfill of manure
A_MA_OTHE,other disposal of manure
A_MA_RECY,recycling of manure
A_MDIA,printed matter and recorded media
A_MEIN,"medical, precision and optical instruments, watches and clocks"
A_METC,foundry work services
A_MGWG,gas works gas (incl the gas)
A_MM_INCI,incineration with energy recovery of mix metals
A_MM_INCI_no_recov,incineration without energy recovery of mix metals
A_MM_LAND,landfill of mix metals
A_MM_OTHE,other disposal of mix metals
A_MM_RECY,recycling of mix metals
A_MNF_INCI,incineration with energy recovery of mix of non-ferrous metals
A_MNF_INCI_no_recov,incineration without energy recovery of mix of non-ferrous metals
A_MNF_LAND,landfill of mix of non-ferrous metals
A_MNF_OTHE,other disposal of mix of non-ferrous metals
A_MNF_RECY,recycling of mix of non-ferrous metals
A_MOTO,other vehicles
A_Maize,maize
A_Maizn,green corn (maize)
A_Mangs,mangoes
A_Manila,abaca manila hemp
A_Mate,mate
A_Melon,"melons, cantaloupes"
A_Melonse,melonseed
A_Millt,millet
A_Mushs,mushrooms
A_Mustd,mustard seed
A_NIKO,nickel ores and concentrates
A_NK_fert,other nk compounds
A_NPK,NPK fertilizer
A_NP_fert,NP fertilizer
A_NUCF,nuclear fuel
A_N_AmmNit,ammonium nitrate (an)
A_N_AmmSol,ammonium sulphate
A_N_CaAmNit,calcium ammonium nitrate (can) and other mixtures with calcium carbonate
A_N_solution,nitrogen solutions
A_N_urea,urea
A_Nat_Elec,domestic electricity
A_Nat_Fish,domestic production of fish
A_Nat_Heat,domestic heat
A_Nutms,"nutmeg, mace, cardamoms"
A_Nutss,nuts nes
A_OBUS,other business services
A_OFMA,office machinery and computers
A_OGPL,other hydrocarbons
A_ONFM,other non-ferrous metal products
A_ONFO,other non-ferrous metal ores and concentrates
A_ONFW,recycling of other non-ferrous metals
A_ONF_INCI,incineration with energy recovery of other non-ferrous metals
A_ONF_LAND,landfill of other non-ferrous metals
A_ONMM,other non-metallic mineral products
A_ORAN,uranium and thorium ores
A_ORGA,membership organisation services n.e.c.
A_OSER,"other services (e.g. spiritualists, dating services, shoe shiners, porters)"
A_OTRE,other transport equipment
A_Oatss,oats
A_Oiloliv,olive oil
A_Oilpalm,palm oil
A_Oilrape,rapeseed oil
A_Oilsoy,soybean oil
A_Oilss,oilseeds nes
A_Okraa,okra
A_Olivs,olives
A_Onion,"onions, shallots (green)"
A_Onioy,"onions, dry"
A_Orans,oranges
A_Othalbev,other alcoholic beverages
A_Othdiar,other diary products
A_Othflour,other flour
A_Othmeat,other anim
A_Othproc,other processed food
A_Othvoils,other vegetable oil
A_PADF,public administration and defence services; compulsory social security services
A_PAPE,paper and paper products
A_PAPR,recycling of paper
A_PA_OTHE,other disposal of paper
A_PK_fert,pk compounds
A_PLAS,"plastics, basic"
A_PLAW,recycling of plastic and rubber
A_PL_OTHE,other disposal of plastic and rubber
A_PM_INCI,incineration with energy recovery of precious metals
A_PM_LAND,landfill of precious metals
A_POWB,electricity by biomass and waste
A_POWC,electricity by coal
A_POWD,distribution and trade services of electricity (excl the electricity)
A_POWG,electricity by gas
A_POWH,electricity by hydro
A_POWM,electricity by geothermal
A_POWN,electricity by nuclear
A_POWO,"electricity by tide, wave, ocean"
A_POWP,electricity by petroleum and other oil derivatives
A_POWS,electricity by solar photovoltaic
A_POWT,transmission services of electricity (excl the electricity)
A_POWW,electricity by wind
A_POWZ,electricity nec
A_PREM,precious metals
A_PREO,precious metal ores and concentrates
A_PREW,recycling of precious metals
A_PRHH,"private households with employed persons (maids, cooks, waiters, gardeners, gatekeepers, chauffeurs etc)"
A_PTEL,post and telecommunication services
A_PULP,pulp
A_Papas,papayas
A_Pasta,pasta
A_Peacs,peaches and nectarines
A_Pears,pears
A_Peasn,"peas, green"
A_Peasy,"peas, dry"
A_Pepp,pepper
A_Peppt,"peppermint, spearmint"
A_Perss,persimmons
A_Pfert,phosphatic fertilizer
A_Piges,pigeon peas
A_Pines,pineapples
A_Pists,pistachios
A_Plans,plantains
A_Plum,"plums, dried"
A_Plums,plums
A_Poleggs,poultry - eggs
A_Poppd,poppy seed
A_Pork_proc,pork meat processed (cuts and other)
A_Potas,potatoes
A_Prmilk,processed milk
A_Prorice,rice
A_Pulss,pulses nes
A_Pumps,"pumpkins, squash and gourds"
A_Pyred,"pyrethrum, dried flowers"
A_Quina,quinoa
A_Quins,quinces
A_RATV,"radio, television and communication equipment and apparatus"
A_REAL,real estate services
A_RECR,"recreational, cultural and sporting services"
A_REFN,petroleum refinery
A_RESD,research and development services
A_RUBP,rubber and plastic products
A_RYMS,services relating to the collection and sorting of scrap/secondary materials (excl the material)
A_Ramie,ramie
A_Raped,rapeseed or colza seed
A_Rasps,raspberries
A_Ricey,"rice, paddy"
A_Roots,roots and tubers nes
A_Roscoff,roasted coffe
A_Rubber,natural rubber
A_Ryee,rye
A_SDCL,sand and clay
A_SE_INCI,incineration with energy recovery of sewage
A_SE_INCI_no_recov,incineration without energy recovery of sewage
A_SE_LAND,landfill of sewage
A_SE_OTHE,other disposal of sewage
A_SE_RECY,recycling of sewage
A_SE_biog,biogasification and land application of sewage
A_SE_wwater,provision of waste water services for sewage
A_STEL,basic iron and steel and of ferro-alloys and first products thereof
A_STEW,recycling of steel
A_STON,stone
A_ST_INCI,incineration with energy recovery of steel
A_ST_INCI_no_recov,incineration without energy recovery of steel
A_ST_LAND,landfill of steel
A_ST_OTHE,other disposal of steel
A_Saffd,safflower seed
A_Seedcot,seedcotton
A_Sesad,sesame seed
A_Shemilk,sheep - milk
A_Silk_ree,"cocoons, reelable"
A_Silkw,"silk, raw"
A_Sisal,sisal
A_Snaia,snails and sea snails
A_Sorgm,sorghum
A_Soybs,soybeans
A_Spics,spices nes
A_Spinh,spinach
A_Stras,strawberries
A_Stris,string beans
A_Sugae,sugar cane
A_Sugar,sugars
A_Sugas,sugar crops nes
A_Sugat,sugar beet
A_Sunfd,sunflower seed
A_Swees,sweet potatoes
A_TAIR,"transport, air"
A_TAUX,supporting and auxiliary transport services; travel agency services
A_TDFU,retail trade services of motor fuel
A_TDMO,"sale, maintenance and repair of motor vehicles"
A_TDRT,"retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
A_TDWH,"wholesale trade and commission trade services, except of motor vehicles and motorcycles"
A_TEXT,textiles
A_TE_INCI,incineration with energy recovery of textiles
A_TE_INCI_no_recov,incineration without energy recovery of textiles
A_TE_LAND,landfill of textiles
A_TE_RECY,recycling of textiles
A_TLND,"transport, road"
A_TOBC,tobacco products
A_TPIP,"transport service, pipeline"
A_TRAI,"transport, railway"
A_TWAI,"transport, inland water"
A_TWAS,"transport, sea and costal water"
A_Talld,tallowtree seeds
A_Taro,taro (cocoyam)
A_Teaa,tea
A_Tmand,"tangerines, mandarins, clementines, satsumas"
A_Tobac,tobacco leaves
A_Tomas,"tomatoes, fresh"
A_Trite,triticale
A_Tung_nuts,tung nuts
A_UN_INCI,incineration with energy recovery of unsorted waste
A_UN_INCI_no_recov,incineration without energy recovery of unsorted waste
A_UN_LAND,landfill of unsorted waste
A_UN_OTHE,other disposal of unsorted waste
A_UN_RECY,recycling of unsorted waste
A_Vania,vanilla
A_Vegfats,vegetable fats
A_Vegleg_nes,"broad beans, green"
A_Vetcs,vetches
A_WATR,"collected and purified water, distribution services of water"
A_WOOD,wood and products of wood and cork (except furniture); articles of straw and planting materials
A_WOOW,recycling of wood
A_WO_OTHE,other disposal of wood
A_Walnd,"walnuts, without shell"
A_Walnl,"walnuts, in shell"
A_Wates,watermelons
A_Wheat,wheat
A_Whflour,wheat flour
A_Wine,wine
A_Yams,yams
A_auto,cars
A_bus,buses
A_frtrop_nes,"fruit, tropical (fresh) nes"
A_lCammeat,camel meat
A_lCatmeat,cattle meat
A_lGoameat,goat meat
A_lPolmeat,poultry
A_lShemeat,sheep meat
A_lSwmeat,swine
A_oFibrs,fibre crops nes
A_oFru_cit,citrus fruit nes
A_oFru_fresh,"fruit, fresh nes"
A_oFru_pom,pome fruit nes
A_oFru_ston,"stone fruit, fresh nes"
A_oVege_fresh,"vegetables, fresh n.e.s."
A_pBovmeat,beef meat as carcass
A_pDermeat,"other products from meat (lard, fat, homogenized meat)"
A_pMuGomeat,mutton and goat meat
A_pOthmeat,meat other
A_pPigmeat,pig meat as carcass
A_pPolmeat,poultry meat
A_palm,oil palm fruit
A_truck,trucks
Arable Land,"global market, arable"
EF_AGSL,"aviation gasoline, combustion of"
EF_ANTH,"anthracite, combustion of"
EF_BIOD,"biodiesels, combustion of"
EF_BIOG,"biogasoline, combustion of"
EF_BITU,"bitumen, combustion of"
EF_BKBP,"bkb/peat briquettes, combustion of"
EF_CHAR,"charcoal, combustion of"
EF_COIL,"crude petroleum and services related to crude oil extraction, excluding surveying, combustion of"
EF_COKC,"coking coal, combustion of"
EF_COKE,"coke oven coke, combustion of"
EF_COOG,"coke oven gas, combustion of"
EF_COTA,"coal tar, combustion of"
EF_DOIL,"gas/diesel oil, combustion of"
EF_ETHA,"ethane, combustion of"
EF_FOIL,"heavy fuel oil, combustion of"
EF_FORE,"products of forestry, logging and related services (02), combustion of"
EF_GASE,"natural gas and services related to natural gas extraction, excluding surveying, combustion of"
EF_GASL,"natural gas liquids, combustion of"
EF_GCOK,"gas coke, combustion of"
EF_GJET,"gasoline type jet fuel, combustion of"
EF_KERO,"kerosene, combustion of"
EF_KJET,"kerosene type jet fuel, combustion of"
EF_LIBC,"lignite/brown coal, combustion of"
EF_LPGA,"liquefied petroleum gases (lpg), combustion of"
EF_LUBR,"lubricants, combustion of"
EF_MBFG,"blast furnace gas, combustion of"
EF_MBIO,"biogas, combustion of"
EF_MGSL,"motor gasoline, combustion of"
EF_MGWG,"gas works gas, combustion of"
EF_MOSG,"oxygen steel furnace gas, combustion of"
EF_NAPT,"naphtha, combustion of"
EF_NSPP,"non-specified petroleum products, combustion of"
EF_OTBC,"other bituminous coal, combustion of"
EF_PARW,"paraffin waxes, combustion of"
EF_PATF,"patent fuel, combustion of"
EF_PEAT,"peat, combustion of"
EF_PETC,"petroleum coke, combustion of"
EF_RGAS,"refinery gas, combustion of"
EF_SUBC,"sub-bituminous coal, combustion of"
EF_WHSP,"white spirit & sbp, combustion of"
Forest Land,"global market, forest"
Grassland,"global market, grass land"
M_ADDC,additives/blending components
M_AGSL,aviation gasoline
M_ALUM,aluminium and aluminium products
M_ALUO,aluminium ores and concentrates
M_ALUW,recycling of aluminium
M_AL_INCI,incineration with energy recovery of aluminium
M_AL_LAND,landfill of aluminium
M_ANTH,anthracite
M_ASHW,recycling of ashes
M_AS_LAND,landfill of ashes
M_Agavs,agave fibres nes
M_Almod,"almonds, without shell"
M_Almol,"almonds, in shell"
M_Anisr,"anise, badian, fennel"
M_Appls,apples
M_Apris,apricots
M_Apriy,"apricots, dried"
M_Arecs,areca nuts
M_Artis,artichokes
M_Aspas,asparagus
M_Avocs,avocados
M_BA_INCI,energy recovery of batteries and accumulators waste
M_BA_INCI_no_recov,incineration without energy recovery of batteries and accumulators waste
M_BA_LAND,landfill of batteries and accumulators waste
M_BA_RECY,recycling of batteries and accumulators waste
M_BIOD,biodiesels
M_BIOG,biogasoline
M_BITU,bitumen
M_BKBP,bkb/peat briquettes
M_BRIK,"bricks, tiles and construction products, in baked clay"
M_Bambs,bambara beans
M_Banas,bananas
M_Barld,"barley, pearled"
M_Barlt,pot barley
M_Barly,barley
M_Bastr,jute-like fibres
M_Beann,"beans, green"
M_Beany,"beans, dry"
M_Beef_ges,sausages of beef and veal
M_Beef_ked,"beef and veal, dried, salted, smoked"
M_Beef_ons,beef and veal preparations nes
M_Beef_proc,"beef meat processed (cuts and other), global mix"
M_Beef_veal,beef meat processed (boneless)
M_Beer,beer
M_Beer_barl,beer of barley
M_Beer_maiz,beer of millet
M_Beer_millet,beer of maize
M_Beer_sorg,beer of sorghum
M_Beesx,beeswax
M_Berrs,berries nes
M_Bev_dstl,"beverages, distilled alcoholic"
M_Bev_ferm,rice-fermented beverages
M_Blues,blueberries
M_Bran_ bar,bran of barley
M_Bran_ buc,bran of buckwheat
M_Bran_ cer,bran of cereals nes
M_Bran_ fon,bran of fonio
M_Bran_ mai,bran of maize
M_Bran_ mil,bran of millet
M_Bran_ mix,bran of mixed grain
M_Bran_ oat,bran of oats
M_Bran_ pul,bran of pulses
M_Bran_ ric,bran of rice
M_Bran_ rye,bran of rye
M_Bran_ sor,bran of sorghum
M_Bran_ tri,bran of triticale
M_Bran_ whe,bran of wheat
M_Brazd,"brazil nuts, without shell"
M_Brazl,"brazil nuts, in shell"
M_Bread,bread
M_Broay,"broad beans, dry"
M_Buckt,buckwheat
M_Bufmeat,meat from buffalo (live)
M_Bufmilk,milk raw from buffalo
M_Butt_buff,butter of buffalo milk
M_Butt_cow,butter of cow milk
M_Butt_goat,butter of goat milk
M_Butt_sheep,butter and ghee of sheep milk
M_Buttk,"buttermilk, curdled milk, acidified milk"
M_Butts,butter of karite nuts
M_CHAR,charcoal
M_CHEM,chemicals nec
M_CHMF,chemical and fertilizer minerals
M_CHP,"heat from combined heat and power, global mix"
M_CMNT,"cement, lime and plaster"
M_COAL,coal
M_COIL,crude petroleum extraction
M_COKC,coking coal
M_COKE,coke oven coke
M_COMP,computer and related services
M_CONS,construction work
M_CONW,recycling of construction waste
M_COOG,coke oven gas
M_COPO,copper ores and concentrates
M_COPP,copper products
M_COPW,recycling of copper
M_COTA,coal tar
M_CO_INCI,incineration with energy recovery of construction waste
M_CO_INCI_no_recov,incineration without energy recovery of construction waste
M_CO_LAND,landfill of construction waste
M_CO_OTHE,other disposal of construction waste
M_CRMC,ceramic goods
M_CU_INCI,incineration with energy recovery of copper
M_CU_LAND,landfill of copper
M_Cabbs,cabbages
M_Cammilk,milk raw from camel
M_Canad,canary seed
M_Caros,carobs
M_Carrs,carrot
M_Casen,casein
M_Cashd,"cashew nuts, without shell"
M_Cashe,cashewapple
M_Cashl,"cashew nuts, in shell"
M_Cassa,cassava
M_Cassd,"cassava, dried"
M_Casss,cassava leaves
M_Castd,castor beans
M_Catmeat,meat from cattle (live)
M_Catmilk,milk raw from cow
M_Cauli,cauliflowers and broccoli
M_Cer_brkf,breakfast cereals
M_Cer_prep,cereal preparations
M_Ceres,"cereals, nes"
M_Chee_buff,cheese of buffalo milk
M_Chee_cow_sk,cheese from skimmed cow milk
M_Chee_cow_wh,cheese from whole cow milk
M_Chee_goat,cheese of goat milk
M_Chee_proc,processed cheese
M_Chee_sheep,cheese of sheep milk
M_Cherr,sour cherries
M_Chers,cherries
M_Chest,chestnuts
M_Chick,"chick-peas, dry"
M_Chics,chicory roots
M_Chiln,chillies and peppers (green)
M_Chily,pimento
M_Chocs,chocolate products nes
M_Cider,"cider, etc."
M_Cinn,cinnamon (canella)
M_Ckcopra,cake of copra
M_Ckcotton,cake of cottonseed
M_Ckgound,cake of groundnuts
M_Ckkapok,cake of kapok
M_Cklins,cake of linseed
M_Ckmaize,cake of maize
M_Ckmust,cake of mustard seed
M_Ckpalm,cake of palm kernel
M_Ckrapes,cake of rapeseed
M_Ckriceb,cake of rice bran
M_Cksaffl,cake of safflower seed
M_Cksesam,cake of sesame seed
M_Cksoyb,cake of soybeans
M_Cksunf,cake of sunflower seed
M_Clovs,cloves
M_Coamilk,milk raw from goat
M_Cocader,cocao derivates
M_Coco_but,cocoa butter
M_Coco_husk,cocoa husks and shells
M_Coco_pas,cocoa paste
M_Coco_pow,cocoa powder and cake
M_Cocoa,cocoa beans
M_Cocod,"coconuts, desiccated"
M_Cocon,coconuts
M_Coff_ext,coffee extracts
M_Coff_sub,coffee substitutes
M_Coffe_roas,"coffee, roasted"
M_Coffn,coffee green
