code,description
M_Coirr,coir
M_Copra,copra
M_Cottd,cottonseed
M_Cotton,cotton lint
M_Cowmilk,"milk raw from cow, global mix"
M_Cowpea,"cow peas, dry"
M_Crans,cranberries
M_Creah,"cream, fresh"
M_Cucus,cucumbers and gherkins
M_Currs,currants
M_DE_INCI,incineration with energy recovery of discarded equipment
M_DE_INCI_no_recov,incineration without energy recovery of discarded equipment
M_DE_LAND,landfill of discarded equipment
M_DE_OTHE,other disposal of discarded equipment
M_DE_RECY,recycling of discarded equipment
M_DOIL,gas/diesel oil
M_DV_INCI,incineration with energy recovery of discarded vehicles
M_DV_LAND,landfill of discarded vehicles
M_DV_RECY,recycling of discarded vehicles
M_Dates,dates
M_EBOIL,heat from electric boilers
M_EDUC,education services
M_ELMA,electrical machinery and apparatus n.e.c.
M_ETHA,ethane
M_Eggpl,eggplants
M_Eggsl,"eggs, hen, in shell"
M_FABM,"fabricated metal products, except machinery and equipment"
M_FAUX,services auxiliary to financial intermediation
M_FINS,"insurance and pension funding services, except compulsory social security services"
M_FINT,"financial intermediation services, except insurance and pension funding services"
M_FISH,fish and other fishing products; services incidental of fishing
M_FOIL,heavy fuel oil
M_FOOD_w_water,waste water treatment of food
M_FORE,"products of forestry, logging and related services"
M_FO_OTHE,other disposal of food
M_FO_RECY,recycling of food
M_FSHP,fish products
M_FURN,furniture; other manufactured goods n.e.c.
M_F_aqua,fish from aquaculture
M_F_capture,fish from capture
M_Fat_ac,fatty acids
M_Fat_buff,fat of buffalo
M_Fat_cam,fat of camels
M_Fat_cow,fat of cattle
M_Fat_goat,fat of goats
M_Fat_live,fatty liver preparations
M_Fat_nes,fat preparations nes
M_Fat_othe,fat of other camelids
M_Fat_pig,fat of pigs
M_Fat_poul,fat of poultry
M_Fat_poul_ren,"fat of poultry, rendered"
M_Fat_sheep,fat of sheep
M_Fat_sub,residues of fatty substances
M_Figsd,"figs, dried"
M_Figss,figs
M_Flaxw,flax fibre and tow
M_Flour_barl,barley flour and grits
M_Flour_buck,flour of buckwheat
M_Flour_cass,flour of cassava
M_Flour_foni,flour of fonio
M_Flour_frui,flour of fruits
M_Flour_maiz,flour of maize
M_Flour_mill,flour of millet
M_Flour_mixe,flour of mixed grain
M_Flour_must,flour of mustard seed
M_Flour_nes,food preparations nes
M_Flour_pota,flour of potatoes
M_Flour_puls,flour of pulses
M_Flour_rice,flour of rice
M_Flour_root,flour of roots and tubers nes
M_Flour_rye,flour of rye
M_Flour_sorg,flour of sorghum
M_Flour_trit,flour of triticale
M_Flour_whea,flour of wheat
M_Fonio,fonio
M_Frozfrui,frozen fruit
M_Frozvege,frozen vegetables
M_Frucr,other fructose and syrup
M_Frudry,"fruit, dried nes"
M_Fruhom,"homogenized cooked fruit, prepared"
M_Fruprep,"fruit, prepared nes"
M_GARM,wearing apparel; furs
M_GASD,distribution services of gaseous fuels through mains (excl the gas)
M_GASE,natural gas extraction
M_GASL,natural gas liquids
M_GCOK,gas coke
M_GJET,gasoline type jet fuel
M_GLAS,glass and glass products
M_GLAS_reuse,collection of glass bottles service
M_GLAW,recycling of glass
M_GL_INCI,incineration with energy recovery of glass
M_GL_INCI_no_recov,incineration without energy recovery of glass
M_GL_LAND,landfill of glass
M_Garlc,garlic
M_Germe,germ of maize
M_Germt,germ of wheat
M_Ghee_buff,"ghee, from buffalo milk"
M_Ghee_cow,ghee from cow milk
M_Gingr,ginger
M_Gluce,glucose and dextrose
M_Gluten_mais,maize gluten
M_Gluten_rice,"rice, gluten"
M_Gluten_wht,wheat gluten
M_Goameat,meat from goat (live)
M_Gooss,gooseberries
M_Graid,mixed grain
M_Grapf,grapefruit and pomelo
M_Graps,grapes
M_Grapt,must of grape
M_Grou_prep,prepared groundnuts
M_Grou_shld,"groundnuts, without shell"
M_Groul,"groundnuts, in shell"
M_HA_INCI,incineration with energy recovery of hazardous waste
M_HA_INCI_no_recov,incineration without energy recovery of hazardous waste
M_HA_LAND,landfill of hazardous waste
M_HA_OTHE,other disposal of hazardous waste
M_HA_RECY,recycling of hazardous waste
M_HCHEM,heat by-product of chemical electricity generation
M_HEAL,health and social work services
M_HORE,hotel and restaurant services
M_HPUMP,"heat from electric boilers, global mix"
M_HWAT,heat (steam and hot water) from heat production
M_Haze_shld,"hazelnuts, without shell"
M_Hazel,"hazelnuts, in shell"
M_Hemp,hemp fibre and tow
M_Hempd,hempseed
M_Hide_buff,"buffalo hides, fresh"
M_Hide_cow,"cattle hides, fresh"
M_Honel,honey
M_Hops,hops
M_INCF,incineration with energy recovery of food
M_INCF_no_recov,incineration without energy recovery of food
M_INCL,incineration with energy recovery of plastic/rubber
M_INCL_no_recov,incineration without energy recovery of plastic and rubber
M_INCP,incineration with energy recovery of paper
M_INCP_no_recov,incineration without energy recovery of paper
M_INCW,incineration with energy recovery of wood
M_INCW_no_recovery,incineration without energy recovery of wood waste
M_IRON,iron ores
M_Ice e,ice cream and edible ice
M_Isoge,isoglucose
M_Jojod,jojoba seeds
M_Jufruveg,juice and fruit and veg prepared
M_Juice_appl,apple juice
M_Juice_appl_con,"apple juice, concentrated"
M_Juice_frui,juice of fruits nes
M_Juice_grapef,"grapefruit juice, concentrated"
M_Juice_grapes,juice of grape
M_Juice_grapfrt,juice of grapefruit
M_Juice_lemo,juice of lemon
M_Juice_lemo_con,"lemon juice, concentrated"
M_Juice_mang,juice of mango
M_Juice_oran,juice of orange
M_Juice_oran_con,"orange juice, concentrated"
M_Juice_pine,juice of pineapples
M_Juice_pine_con,"juice of pineapples, concentrated"
M_Juice_tang,"juice of tangerine, mandarin and clementin"
M_Juice_toma,juice of tomatoes
M_Juice_vege,juice of vegetables nes
M_Jute,jute
M_K2Ofert,K fertilizer
M_KERO,kerosene
M_KJET,kerosene type jet fuel
M_Kapod,"kapokseed, without shell"
M_Kapol,"kapokseed, in shell"
M_Kapot,kapok fruit
M_Kari,karite nuts (sheanuts)
M_Kfert,K fertilizer
M_Kiwi,kiwi fruit
M_Kola,kolanuts
M_LANF,landfill of food
M_LANL,landfill of plastic and rubber
M_LANP,landfill of paper
M_LANW,landfill of wood
M_LETH,leather and leather products
M_LIBC,lignite/brown coal
M_LPGA,liquefied petroleum gases (lpg)
M_LUBR,lubricants
M_LZTO,"lead, zinc and tin ores and concentrates"
M_LZTP,"lead, zinc and tin and products thereof"
M_LZTW,"recycling of lead, zinc and tin"
M_LZT_INCI,"incineration with energy recovery of lead, zinc and tin"
M_LZT_LAND,"landfill of lead, zinc and tin"
M_Lacte,lactose
M_Lard,lard
M_Lardl,lard stearine and lard oil
M_Leeks,leeks and other alliaceous vegetables
M_Lemos,lemons and limes
M_Lents,"lentils, dry"
M_Letty,lettuce and chicory
M_Linsd,linseed
M_Lupis,lupins
M_MACH,machinery and equipment n.e.c.
M_MANC,land application of manure
M_MARE,renting services of machinery and equipment without operator and of personal and household goods
M_MA_INCI,incineration with energy recovery of manure
M_MA_INCI_no_recov,incineration without energy recovery of manure
M_MA_LAND,landfill of manure
M_MA_OTHE,other disposal of manure
M_MA_RECY,recycling of manure
M_MBFG,blast furnace gas
M_MBIO,biogas
M_MDIA,printed matter and recorded media
M_MEIN,"medical, precision and optical instruments, watches and clocks"
M_METC,foundry work services
M_MGSL,motor gasoline
M_MGWG,gas works gas (incl the gas)
M_MM_INCI,incineration with energy recovery of mix metals
M_MM_INCI_no_recov,incineration without energy recovery of mix metals
M_MM_LAND,landfill of mix metals
M_MM_OTHE,other disposal of mix metals
M_MM_RECY,recycling of mix metals
M_MNF_INCI,incineration with energy recovery of mix of non-ferrous metals
M_MNF_INCI_no_recov,incineration without energy recovery of mix of non-ferrous metals
M_MNF_LAND,landfill of mix of non-ferrous metals
M_MNF_OTHE,other disposal of mix of non-ferrous metals
M_MNF_RECY,recycling of mix of non-ferrous metals
M_MOSG,oxygen steel furnace gas
M_MOTO,other vehicles
M_Macai,macaroni
M_Maize,maize
M_Maizn,green corn (maize)
M_Malt_ext,malt extract
M_Maltt,malt
M_Mangp,mango pulp
M_Mangs,mangoes
M_Manila,abaca manila hemp
M_Margd,liquid margarine
M_Margt,margarine and shortening
M_Mate,mate
M_Meat_ass,meat of asses
M_Meat_beef,beef meat as carcass
M_Meat_buff,"buffalo meat as carcass, global mix"
M_Meat_chic,chicken meat
M_Meat_drie,"meat, dried nes"
M_Meat_duck,duck meat
M_Meat_extr,meat extracts
M_Meat_game,game meat
M_Meat_goat,goat meat as carcass
M_Meat_goos,goose meat
M_Meat_homo,homogenized meat preparations
M_Meat_hors,horse meat
M_Meat_mule,meat of mules
M_Meat_nes,"meat, prepared nes"
M_Meat_ocAM,meat of other domestic camelids
M_Meat_othe,meat of other domestic rodents
M_Meat_pig,pig meat as carcass
M_Meat_prnes,meat nes
M_Meat_rabb,rabbit meat
M_Meat_shee,meat of sheep
M_Meat_turk,turkey meat
M_Melon,"melons, cantaloupes"
M_Melonse,melonseed
M_Milk_dry ,"milk, dry buttermilk"
M_Milk_prod,"products of natural milk constitue, nes"
M_Milk_skim_buff,skim milk of buffalo
M_Milk_skim_cow,skim milk of cows
M_Milk_skim_dried,dry skim cow milk
M_Milk_skim_she,skim sheep milk
M_Millt,millet
M_Mixes,mixes and doughs
M_Molas,molasses
M_Mush_can,canned mushrooms
M_Mush_dry,dried mushrooms
M_Mushs,mushrooms
M_Mustd,mustard seed
M_NAPT,naphtha
M_NIKO,nickel ores and concentrates
M_NK_fert,other nk compounds
M_NPK,NPK fertilizer
M_NP_fert,NP fertilizer
M_NSPP,non-specified petroleum products
M_NUCF,nuclear fuel
M_N_AmmNit,ammonium nitrate (an)
M_N_AmmSol,ammonium sulphate
M_N_CaAmNit,calcium ammonium nitrate (can) and other mixtures with calcium carbonate
M_N_solution,nitrogen solutions
M_N_urea,urea
M_Nat_Elec,"electricity, mix of domestic production"
M_Nat_Fish,"fish, mix of domestic production"
M_Nat_Heat,"heat, mix of domestic production"
M_Nfert,N fertilizer
M_Nutms,"nutmeg, mace, cardamoms"
M_Nuts,prepared nuts
M_Nutss,nuts nes
M_OBUS,other business services
M_OFMA,office machinery and computers
M_OGPL,"hydrocarbons, other"
M_ONFM,other non-ferrous metal products
M_ONFO,other non-ferrous metal ores and concentrates
M_ONFW,recycling of other non-ferrous metals
M_ONF_INCI,incineration with energy recovery of other non-ferrous metals
M_ONF_LAND,landfill of other non-ferrous metals
M_ONMM,other non-metallic mineral products
M_ORAN,uranium and thorium ores
M_ORGA,membership organisation services n.e.c.
M_OSER,"other services (e.g. spiritualists, dating services, shoe shiners, porters)"
M_OTBC,other bituminous coal
M_OTRE,other transport equipment
M_Oatsd,"oats, rolled"
M_Oatss,oats
M_Offa_chick,offals and liver of chickens
M_Offa_duck,offals and liver of ducks
M_Offa_geese,offals and liver of geese
M_Offa_turkey,offals and liver of turkey
M_Offae_cow,"offals of cattle, edible"
M_Offae_pigs,"offals of pigs, edible"
M_Offae_shee,"offals of sheep, edible"
M_Offas_buff,"offals of buffalo, edible"
M_Offas_came,"offals of camels, edibles"
M_Offas_goat,"offals of goats, edible"
M_Offas_hors,offals of horses
M_Oil_coco,oil of coconuts
M_Oil_cott,oil of cottonseed
M_Oil_grou,oil of groundnuts
M_Oil_hemp,oil of hempseed
M_Oil_hydr,hydrogenated oils and fats
M_Oil_kapo,oil of kapok
M_Oil_lins,oil of linseed
M_Oil_maiz,oil of maize
M_Oil_must,oil of mustard seed
M_Oil_olive,"oil of olives, virgin"
M_Oil_olivres,oil of olive residues
M_Oil_pal_ker,oil of palm kernel
M_Oil_palm,oil of palm
M_Oil_popp,oil of poppy seed
M_Oil_rape,oil of rapeseed or canola oil
M_Oil_rice,oil of rice bran
M_Oil_saff,oil of safflower seed
M_Oil_sesa,oil of sesame seed
M_Oil_soyb,oil of soybeans
M_Oil_sunf,oil of sunflower seed
M_Oiloliv,olive oil
M_Oilpalm,palm oil
M_Oilrape,"oil, tung nuts"
M_Oils_nes,animal oils and fats nes
M_Oilsoy,soybean oil
M_Oilss,oilseeds nes
M_Okraa,okra
M_Olivs,olives
M_Onion,"onions, shallots (green)"
M_Onioy,"onions, dry"
M_Orans,oranges
M_Othalbev,other alcoholic beverages
M_Othanpr,other animal products
M_Othdiar,other diary products
M_Othflour,other flour
M_Othmeat,"animals, other"
M_Othproc,other processed food
M_Othvoils,other vegetable oil
M_P2O5fert,P fertilizer
M_PADF,public administration and defence services; compulsory social security services
M_PAPE,paper and paper products
M_PAPR,recycling of paper
M_PARW,paraffin waxes
M_PATF,patent fuel
M_PA_OTHE,other disposal of paper
M_PEAT,peat
M_PETC,petroleum coke
M_PK_fert,pk compounds
M_PLAS,"plastics, basic"
M_PLAW,recycling of plastic and rubber
M_PL_OTHE,other disposal of plastic and rubber
M_PM_INCI,incineration with energy recovery of precious metals
M_PM_LAND,landfill of precious metals
M_POWB,"electricity by biomass and waste, global mix"
M_POWC,"electricity by coal, global mix"
M_POWD,distribution and trade services of electricity (excl the electricity)
M_POWG,"electricity by gas, global mix"
M_POWH,"electricity by hydro, global mix"
M_POWM,"electricity by geothermal, global mix"
M_POWN,"electricity by nuclear, global mix"
M_POWO,"electricity by tide, wave, ocean, global mix"
M_POWP,"electricity by petroleum and other oil derivatives, global mix"
M_POWS,"electricity by solar photovoltaic, global mix"
M_POWT,transmission services of electricity (excl the electricity)
M_POWW,"electricity by wind, global mix"
M_POWZ,"electricity nec, global mix"
M_PREM,precious metals
M_PREO,precious metal ores and concentrates
M_PREW,recycling of precious metals
M_PRHH,"private households with employed persons (maids, cooks, waiters, gardeners, gatekeepers, chauffeurs etc)"
M_PTEL,post and telecommunication services
M_PULP,pulp
M_Papas,papayas
M_Pasta,pasta
M_Pasty,pastry
M_Peacs,peaches and nectarines
M_Peanr,peanut butter
M_Pears,pears
M_Peasn,"peas, green"
M_Peasy,"peas, dry"
M_Pepp,pepper
M_Peppt,"peppermint, spearmint"
M_Perss,persimmons
M_Pfert,phosphatic fertilizer
M_Piges,pigeon peas
M_Pigmeat,meat from pig (live)
M_Pined,"pineapples, canned"
M_Pines,pineapples
M_Pists,pistachios
M_Plans,plantains
M_Plum,"plums, dried"
M_Plums,plums
M_Poleggs,egg
M_Polmeat,poultry meat
M_Poppd,poppy seed
M_Pork_ges,"pork meat processed, sausage"
M_Pork_ham,"pork meat processed, bacon and ham"
M_Pork_ons,"pork meat processed, meat preparations"
M_Pork_proc,"pork meat processed (cuts and other), global mix"
M_Potan,frozen potatoes
M_Potas,potatoes
M_Prmilk,processed milk
M_Prorice,rice
M_Pulss,pulses nes
M_Pumps,"pumpkins, squash and gourds"
M_Pyred,"pyrethrum, dried flowers"
M_Quina,quinoa
M_Quins,quinces
M_RATV,"radio, television and communication equipment and apparatus"
M_REAL,real estate services
M_RECR,"recreational, cultural and sporting services"
M_REFF,refinery feedstocks
M_REFN,petroleum refinery
M_RESD,research and development services
M_RGAS,refinery gas
M_RUBP,rubber and plastic products
M_RYMS,services relating to the collection and sorting of scrap/secondary materials (excl the material)
M_Raiss,raisins
M_Ramie,ramie
M_Raped,rapeseed or colza seed
M_Rasps,raspberries
M_Rice_brok,"rice, broken"
M_Rice_husk,"rice, husked"
M_Rice_milhusk,"rice, milled (husked)"
M_Rice_mill,"rice, milled"
M_Ricey,"rice, paddy"
M_Roots,roots and tubers nes
M_Roscoff,roasted coffe
M_Rubber,natural rubber
M_Ryee,rye
M_SDCL,sand and clay
M_SE_INCI,incineration with energy recovery of sewage
M_SE_INCI_no_recov,incineration of sewage
M_SE_LAND,landfill of sewage
M_SE_OTHE,other disposal of sewage
M_SE_RECY,recycling of sewage
M_SE_biog,biogasification and land application
M_SE_wwater,provision of waste water services for sewage
M_STEL,basic iron and steel and of ferro-alloys and first products thereof
M_STEW,recycling of steel
M_STON,stone
M_ST_INCI,incineration with energy recovery of steel
M_ST_INCI_no_recov,incineration without energy recovery of steel
M_ST_LAND,landfill of steel
M_ST_OTHE,other disposal of steel
M_SUBC,sub-bituminous coal
M_Saffd,safflower seed
M_Seedcot,seedcotton
M_Sesad,sesame seed
M_Shemeat,meat from sheep (live)
M_Shemilk,milk raw from sheep
M_Silk_ree,"cocoons, reelable"
M_Silkw,"silk, raw"
M_Sisal,sisal
M_Skin_goat,"goatskins, fresh"
M_Skin_she,"sheepskins, fresh"
M_Snaia,snails and sea snails
M_Sorgm,sorghum
M_Soyace,soya sauce
M_Soyard,soya curd
M_Soyate,soya paste
M_Soybs,soybeans
M_Spics,spices nes
M_Spinh,spinach
M_Starch_cass,starch of cassava
M_Starch_maiz,starch of maize
M_Starch_pota,starch of potatoes
M_Starch_rice,starch of rice
M_Starch_whea,starch of wheat
M_Stras,strawberries
M_Stris,string beans
M_Sugacrs,sugar crops nes
M_Sugae,sugar cane
M_Sugar,sugar cane
M_Sugar_nc,"sugar, non-centrifugal"
M_Sugar_rc,"sugar, raw centrifugal"
M_Sugarn,sugar and syrups nes
M_Sugas,sugar crops nes
M_Sugat,sugar beet
M_Sunfd,sunflower seed
M_Sweed,"sweet corn, prepared or preserved"
M_Sween,"sweet corn, frozen"
M_Swees,sweet potatoes
M_TAIR,air transport services
M_TAUX,supporting and auxiliary transport services; travel agency services
M_TDFU,retail trade services of motor fuel
M_TDMO,"sale, maintenance and repair of motor vehicles"
M_TDRT,"retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods"
M_TDWH,"wholesale trade and commission trade services, except of motor vehicles and motorcycles"
M_TEXT,textiles
M_TE_INCI,incineration with energy recovery of textiles
M_TE_INCI_no_recov,incineration without energy recovery of textiles
M_TE_LAND,landfill of textiles
M_TE_RECY,recycling of textiles
M_TLND,other land transportation services
M_TOBC,tobacco products
M_TPIP,transportation services via pipelines
M_TRAI,railway transportation services
M_TWAI,inland water transportation services
M_TWAS,sea and coastal water transportation services
M_Talld,tallowtree seeds
M_Tallw,tallow
M_Tapia,tapioca of cassava
M_Tapis,tapioca of potatoes
M_Taro,taro (cocoyam)
M_Teaa,tea
M_Tmand,"tangerines, mandarins, clementines, satsumas"
M_Tobac,tobacco leaves
M_Tomad,"tomatoes, peeled (o/t vinegar)"
M_Tomae,paste of tomatoes
M_Tomas,"tomatoes, fresh"
M_Trite,triticale
M_Tung_nuts,tung nuts
M_UN_INCI,incineration with energy recovery of unsorted waste
M_UN_INCI_no_recov,incineration without energy recovery of unsorted waste
M_UN_LAND,landfill of unsorted waste
M_UN_OTHE,other disposal of unsorted waste
M_UN_RECY,recycling of unsorted waste
M_Vania,vanilla
M_Vegeh,homogenized vegetable preparations
M_Vegfats,vegetable fats
M_Vegleg_nes,"broad beans, green"
M_Vetcs,vetches
M_WATR,"collected and purified water, distribution services of water"
M_WHSP,white spirit & sbp
M_WOOD,wood and products of wood and cork (except furniture); articles of straw and planting materials
M_WOOW,recycling of wood
M_WO_OTHE,other disposal of wood
M_Wafes,wafers
M_Walnd,"walnuts, without shell"
M_Walnl,"walnuts, in shell"
M_Wates,watermelons
M_Wheat,wheat
M_Whey_con,"whey, condensed"
M_Whey_dry,dry whey
M_Wheye,whey cheese
M_Wheyh,"whey, fresh"
M_Whflour,wheat flour
M_Wine,wine
M_Yams,yams
M_Yoght,yoghurt
M_auto,cars
M_bus,buses
M_cOil_beans,oil of castor beans
M_electricity,electricity
M_feed_ener,animal feed energy
M_feed_prot,animal feed protein
M_frtrop_nes,"fruit, tropical (fresh) nes"
M_fuel_TAIR,fuel mix for aviation
M_fuel_TLND,fuel mix for road transport
M_fuel_TRAI,fuel mix and combustion for rail transport
M_fuel_TWAS,fuel mix and conbustion for water transport
M_heat_CONS,fuel mix and combustion for construction
M_heat_FISH,fuel mix and combustion for fishing
M_heat_HOUS,fuel mix and combustion for households
M_heat_STEL,fuel mix and combustion for iron and steel
M_heat_TPIP,fuel mix and combustion for pipeline transport
M_heat_WOOD,fuel mix and combustion for wood and wood products
M_heat_agriculture,fuel mix and combustion for agriculture/forestry
M_heat_chemicals,fuel mix and combustion for chemical and petrochemical
M_heat_commercial,fuel mix and combustion for commercial and public services
M_heat_food,fuel mix and combustion for food and tobacco
M_heat_machinery,fuel mix and combustion for machinery
M_heat_mine,fuel mix and combustion for mining and quarrying
M_heat_motor,fuel mix and combustion for transport equipment
M_heat_non_ferrous,fuel mix and combustion for non-ferrous metals
M_heat_non_metallic,fuel mix and combustion for non-metallic minerals
M_heat_other,fuel mix and combustion for industry not elsewhere specified
M_heat_paper,"fuel mix and combustion for paper, pulp and printing"
M_heat_textile,fuel mix and combustion for textile and leather
M_lCammeat,camel meat
M_lPolmeat,poultry
M_lSwmeat,swine
M_oFibrs,fibre crops nes
M_oFru_cit,citrus fruit nes
M_oFru_fresh,"fruit, fresh nes"
M_oFru_pom,pome fruit nes
M_oFru_ston,"stone fruit, fresh nes"
M_oVege_fresh,"vegetables, fresh n.e.s."
M_pBovmeat,"beef meat as carcass, global mix"
M_pDermeat,"other products from meat, global mix (lard, fat, homogenized meat)"
M_pMuGomeat,mutton and goat meat
M_pOthmeat,meat other
M_pPigmeat,"pig meat as carcass, global mix"
M_pPolmeat,poultry meat
M_palm,oil palm fruit
M_truck,trucks
M_vOil_nes,oil of vegetable origin nes
M_wAlum,treatment of aluminium
M_wAsh,treatment of ash
M_wBatt,treatment of batteries and accumulators
M_wCons,treatment of construction
M_wCopp,treatment of copper
M_wDisc_eq,treatment of discarded equipment
M_wDisc_veh,treatment of discarded vehicles
M_wFood,treatment of food
M_wGlas,treatment of glass
M_wHazar,treatment of hazardous
M_wLead,treatment of lead
M_wManu,treatment of manure
M_wMix_met,treatment of mix metals
M_wMix_nonferr,treatment of mix metals non-ferrous
M_wPape,treatment of paper
M_wPlas,treatment of plastic
M_wPrec,treatment of precious metals
M_wSewage,treatment of sewage
M_wSteel,treatment of steel
M_wText,treatment of textiles
M_wUnsort,treatment of unsorted waste
M_wWood,treatment of wood
grassland to pasture,"land transformation, grassland to pasture"
intensification of cropland,"land transformation, intensification of cropland"
intensification of pasture,"land transformation, intensification of pasture"
primary forest to managed forest,"land transformation, primary forest to managed forest"
secondary forest to crop,"land transformation, secondary forest to crop"
secondary forest to managed forest,"land transformation, secondary forest to managed forest"
